month,scenario,species,sst_anomaly_c,temperature_c,atmosphere_ppt,atmosphere_target_ppt,mixed_layer_pmol_kg,deep_ocean_pmol_kg,henry_mol_m3_pa,air_to_sea_flux_mol_yr,mixed_to_deep_flux_mol_yr,external_atmospheric_flux_mol_yr,cumulative_air_to_sea_mol,cumulative_outgassing_mol,cumulative_external_mol,total_inventory_mol,mass_balance_residual_mol
2022-11,observed_sst,CFC-12,0.6785,15.678499999999985,488.4031774998134,488.145,1.2916133597235628,0.19142856781472478,3.0223294819484488e-05,1860270.7975006874,2035479.3881303389,-467817629.6618042,13202667.467913494,0.0,-3842709635.2611027,74031318012.834,9.5367431640625e-06
2022-12,observed_sst,CFC-12,0.6913,15.691300000000012,488.14294613667045,487.883,1.2908085191092138,0.19155410687657148,3.0206639727579526e-05,1851652.896679296,2033758.0694319175,-471022399.6468506,13357328.868960707,0.0,-3881849909.694663,73992177738.40047,3.719329833984375e-05
2023-01,observed_sst,CFC-12,0.6705,15.670500000000004,487.8602601767623,487.563,1.2900240147082243,0.19167953993833886,3.0233709665043388e-05,1865483.2034200146,2032074.5713836343,-538635440.2935791,13512223.352595516,0.0,-3924380595.157105,73949647052.93799,4.76837158203125e-07
2023-02,observed_sst,CFC-12,0.6925,15.692499999999995,487.59408526758864,487.352,1.2892416166526,0.1918048705050855,3.0205078859004104e-05,1850018.3011886054,2030395.15996617,-438658504.87060547,13667018.377374412,0.0,-3964418211.417551,73909609436.67754,-5.7220458984375e-06
2023-03,observed_sst,CFC-12,0.8087,15.808699999999988,487.31755663192115,487.018,1.2882551318435396,0.1919300885075541,3.0054377264651635e-05,1771214.4797648338,2028338.3708019904,-542796617.0412598,13817885.51377743,0.0,-4006023168.2670183,73868004479.82814,6.580352783203125e-05
2023-04,observed_sst,CFC-12,0.8672,15.867200000000025,486.8770650176965,486.337,1.287012166076321,0.19205516334009823,2.9978838119732158e-05,1730126.2133411234,2025807.3246873538,-978597812.0661621,13963814.067805972,0.0,-4072391473.4608693,73801636174.63425,2.3365020751953125e-05
2023-05,observed_sst,CFC-12,0.8512,15.851200000000006,486.2893306055153,485.669,1.2857015396813354,0.1921800761142457,2.999947647931079e-05,1736353.5283405758,2023151.3977820617,-1124039057.1939697,14108271.940992612,0.0,-4160994911.8270164,73713032736.26807,-1.0013580322265625e-05
2023-06,observed_sst,CFC-12,0.9251,15.925099999999986,485.7365857131785,485.234,1.2842934432972704,0.19230482199703305,2.9904290679444697e-05,1683051.924664553,2020315.4479831015,-910685312.27948,14250701.095533077,0.0,-4244316961.4153094,73629710686.67976,-1.9550323486328125e-05
2023-07,observed_sst,CFC-12,0.9921,15.992099999999994,485.2991197377347,484.91,1.2826840176540346,0.19242938093028428,2.981829524837208e-05,1640765.8530994942,2017107.3597685287,-705084964.7753906,14389152.914709622,0.0,-4310235871.888181,73563791776.20694,2.765655517578125e-05
2023-08,observed_sst,CFC-12,1.0228,16.022800000000018,484.8999097424952,484.495,1.2809630061752353,0.1925537343823519,2.9778987308238832e-05,1625891.8381462386,2013693.2039758083,-733696453.4013062,14525262.735357376,0.0,-4370380471.348714,73503647176.7464,2.002716064453125e-05
2023-09,observed_sst,CFC-12,1.0235,16.023500000000013,484.5444309408971,484.226,1.2792390264398048,0.1926778760770183,2.977809173772784e-05,1632936.7945994486,2010273.94831495,-576996864.9056396,14661031.64185389,0.0,-4423922001.48348,73450105646.61159,-2.47955322265625e-05
2023-10,observed_sst,CFC-12,1.0019,16.001899999999978,484.2575893704058,483.995,1.2775996499621405,0.1928018109417139,2.980574089507172e-05,1656454.747016296,2007011.6019176664,-475811939.17529297,14798086.471624348,0.0,-4467098023.797889,73406929624.29716,-3.910064697265625e-05
2023-11,observed_sst,CFC-12,0.9794,15.979399999999998,484.0711526898602,483.941,1.2760851560190116,0.192925551554818,2.9834573799477072e-05,1682484.8260415727,2003980.663209316,-235836674.02661133,14937189.429887036,0.0,-4495110859.602057,73378916788.49304,6.67572021484375e-06
2023-12,observed_sst,CFC-12,0.9777,15.977700000000027,483.93568482068895,483.798,1.2746718527539413,0.1930491115360206,2.9836753600994098e-05,1694896.051234983,2001137.2740958054,-249484895.08831787,15077920.58231658,0.0,-4515425776.694474,73358601871.40062,9.5367431640625e-07
2024-01,observed_sst,CFC-12,1.0296,16.029600000000016,483.8120123858291,483.7,1.2732452133952128,0.19317249686146468,2.9770288803787225e-05,1671396.723772643,1998269.5346770012,-202966443.12249756,15218169.111804057,0.0,-4533960065.828726,73340067582.26628,-8.58306884765625e-05
2024-02,observed_sst,CFC-12,1.0336,16.03359999999998,483.63871868559374,483.423,1.271798247310565,0.1932957027562995,2.9765173414445964e-05,1679083.0576697416,1995364.52024346,-390882258.29589844,15357799.234042803,0.0,-4559987784.442039,73314039863.65297,-8.487701416015625e-05
2024-03,observed_sst,CFC-12,0.9699,15.969899999999996,483.3785228674103,483.088,1.2704925718443858,0.1934187357138421,2.984675741393894e-05,1728353.3425184626,1992721.231071022,-526427435.74749756,15499809.841742845,0.0,-4599135342.380001,73274892305.71498,-0.000110626220703125
2024-04,observed_sst,CFC-12,1.0002,16.000200000000007,483.0408725010491,482.671,1.2692673785969604,0.19354161307023163,2.9807918251062628e-05,1710307.7972811451,1990227.1319451393,-670208971.901001,15643099.317536673,0.0,-4649977258.224725,73224050389.87022,-0.00014400482177734375
2024-05,observed_sst,CFC-12,0.9561,15.956099999999992,482.6674067450453,482.293,1.2680823549067592,0.19366433674297823,2.9864466008293512e-05,1741197.2918117153,1987807.6358552652,-678425022.0221558,15786924.416567853,0.0,-4706226762.2822485,73167800885.81268,-0.00016117095947265625
2024-06,observed_sst,CFC-12,0.9463,15.946300000000008,482.23147079817164,481.753,1.2669882260149357,0.19378691746595572,2.9877049083721685e-05,1745715.2218735784,1985556.5709791817,-866989086.2871094,15932238.11628003,0.0,-4771907776.560403,73102119871.53447,-0.00022029876708984375
2024-07,observed_sst,CFC-12,0.955,15.954999999999984,481.6808318146546,481.08,1.2658878487131158,0.19390935964298203,2.986587808773637e-05,1733972.5414856747,1983294.202090881,-1088707248.1541748,16077249.09364742,0.0,-4854909252.094136,73019118396.00076,-0.00019359588623046875
2024-08,observed_sst,CFC-12,0.9493,15.949299999999994,481.08264488109097,480.488,1.264762639805939,0.19403166045028394,2.987319646827274e-05,1730722.1257399325,1980986.153180381,-1077496524.5370483,16221609.722563395,0.0,-4945091118.4333515,72928936529.66156,-0.0001811981201171875
2024-09,observed_sst,CFC-12,0.9304,15.93040000000002,480.57776241693193,480.139,1.2636580470502872,0.1941538195268351,2.9897477578107027e-05,1739238.1396051268,1978716.508946827,-795037499.4805298,16366160.355741024,0.0,-5021183819.888179,72852843828.20674,-0.00017261505126953125
2024-10,observed_sst,CFC-12,0.9227,15.92270000000002,480.2096745985239,479.894,1.2625941475234705,0.19427584104879014,2.990737645029625e-05,1744188.290537281,1976522.4067664682,-572002372.5252686,16511278.084484661,0.0,-5076619962.739064,72797407685.35585,-0.00017833709716796875
2024-11,observed_sst,CFC-12,0.8878,15.887800000000027,479.93851489221527,479.701,1.2616097729149496,0.19439773085922962,2.9952290499100724e-05,1769870.8880120276,1974475.679308339,-430376984.69403076,16657689.235202443,0.0,-5117418667.240972,72756608980.85397,-0.00014781951904296875
2024-12,observed_sst,CFC-12,0.8375,15.837499999999977,479.6733421177038,479.39,1.2607717504335596,0.19451950237097715,3.001716118344476e-05,1804603.7752220556,1972699.9404467852,-513415917.27941895,16806648.31003409,0.0,-5157310797.117368,72716716850.97757,-0.00015544891357421875
2025-01,observed_sst,CFC-12,0.8769,15.876899999999978,479.35345032923203,479.009,1.259955123852454,0.1946411682433058,2.9966334139650933e-05,1776395.9636863882,1970963.9821213754,-624143996.5684204,16955860.56009112,0.0,-5205465244.926534,72668562403.1684,-0.00016307830810546875
2025-02,observed_sst,CFC-12,0.8582,15.85820000000001,479.05673573991896,478.796,1.2591097790072718,0.19476272363027888,2.9990445168118317e-05,1788697.8904632917,1969175.095829359,-472453160.73321533,17104392.26581034,0.0,-5250120616.207079,72623907031.88785,-0.0001659393310546875
2025-03,observed_sst,CFC-12,0.877,15.87700000000001,478.75444707807816,478.424,1.2582713312214189,0.19488417014435902,2.996620526417366e-05,1775322.2656502107,1967399.1713876955,-598770105.4779053,17252904.532971986,0.0,-5295617691.877852,72578409956.21706,-0.00018405914306640625
2025-04,observed_sst,CFC-12,0.8409,15.840899999999976,478.4481882391214,478.161,1.2574626685963848,0.19500550721420434,3.0012771149974795e-05,1798676.4471556165,1965678.5557022067,-520385089.28796387,17401820.048414312,0.0,-5341713861.044891,72532313787.05002,-0.00018310546875
2025-05,observed_sst,CFC-12,0.8373,15.837300000000027,478.1446214663327,477.831,1.2567160876014314,0.19512674264506175,3.0017419443921355e-05,1799405.1562502626,1964072.9868374032,-568282096.9949341,17551746.87888732,0.0,-5387402516.905523,72486625131.18939,-0.0001773834228515625
2025-06,observed_sst,CFC-12,0.8343,15.834299999999985,477.81559755059897,477.47721739130435,1.2559769439056359,0.19524787949682593,3.0021293660625852e-05,1798803.658162575,1962481.3602893497,-613144848.6417847,17701678.168630667,0.0,-5436935196.891594,72437092451.20335,-0.00014495849609375
2025-07,observed_sst,CFC-12,0.8761,15.876100000000008,477.477242668387,477.14059478260873,1.2551742007508957,0.195368915792622,2.9967365166632568e-05,1768311.6451532284,1960772.252833426,-610005969.0302124,17850296.978873644,0.0,-5487878165.295347,72386149482.79958,-0.0001697540283203125
2025-08,observed_sst,CFC-12,0.8652,15.865200000000016,477.1399860518863,476.80397217391305,1.2543244017739867,0.19548984240139144,2.998141701307505e-05,1774011.8734791495,1958976.289159223,-608857146.8875122,17997897.055248342,0.0,-5538656314.310589,72335371333.78433,-0.000171661376953125
2025-09,observed_sst,CFC-12,0.8468,15.846799999999973,476.8031272346797,476.46734956521743,1.2535185739440013,0.19561066052491255,3.0005154919480742e-05,1784294.6202978613,1957261.8783144918,-608429137.0658569,18146164.133577902,0.0,-5589373728.630453,72284653919.4645,-0.0001468658447265625
2025-10,observed_sst,CFC-12,0.793,15.793000000000006,476.4664095360893,476.13072695652176,1.2528180764592278,0.19573137791251455,3.007468775558731e-05,1817339.114450665,1955742.528148738,-608256834.1765137,18296243.901905827,0.0,-5640068021.349282,72233959626.74567,-0.00014400482177734375
2025-11,observed_sst,CFC-12,0.739,15.738999999999976,476.1297407079679,475.7941043478261,1.2522691957226575,0.1958520102865609,3.0144667244683908e-05,1848884.1488346248,1954503.8452049585,-608173084.5770874,18449013.95103209,0.0,-5690752244.3464985,72183275403.74846,-0.0001354217529296875
2025-12,observed_sst,CFC-12,0.7749,15.774900000000002,475.7931025941734,475.45748173913046,1.2517292516356673,0.19597256936466875,3.0098122811150784e-05,1819440.8178496133,1953281.8317866311,-608144989.3377686,18601850.346493144,0.0,-5741431763.13399,72132595884.96094,-0.00016498565673828125
2026-01,observed_sst,CFC-12,0.7749,15.774900000000002,475.5803152295876,475.45748173913046,1.2511261008538421,0.19609304818172843,3.0098122811150784e-05,1819108.2671625346,1951943.0265749944,-222574284.70825195,18753408.939222027,0.0,-5773411096.593692,72100616551.50122,-0.00018024444580078125
2016-01,zero_anomaly,CFC-12,0.0,15.0,513.939020564244,513.776,1.3548603727019555,0.18078669799157843,3.112159778944955e-05,2511707.854773636,2172183.057423536,-295393262.4102173,0.0,0.0,0.0,77874027648.09511,1.52587890625e-05
2016-02,zero_anomaly,CFC-12,0.0,15.0,513.7670425359288,513.591,1.356333644375876,0.18092080216358086,3.112159778944955e-05,2489480.164861206,2174660.6846980224,-318989075.1029663,208377.28885210253,0.0,-25760304.986708,77848267343.10837,-1.68532133102417e-05
2016-03,zero_anomaly,CFC-12,0.0,15.0,513.5397523047418,513.278,1.3576955391728354,0.18105505286392373,3.112159778944955e-05,2466599.8594233114,2176931.9797322755,-474295176.19207764,414891.86615375686,0.0,-59874615.31864682,77814153032.77643,-1.773238182067871e-05
2016-04,zero_anomaly,CFC-12,0.0,15.0,513.2733743121838,513.006,1.3589434588671288,0.18118943718502667,3.112159778944955e-05,2443649.8661187966,2178992.1593645993,-484482253.6772461,619478.2286166803,0.0,-99893105.83247128,77774134542.26265,2.804398536682129e-05
2016-05,zero_anomaly,CFC-12,0.0,15.0,513.0229478136332,512.787,1.3600827009236696,0.18132394232738472,3.112159778944955e-05,2422451.0400008135,2180851.048247951,-427537438.3033447,822217.0990640672,0.0,-137504768.2431777,77736522879.85194,2.8908252716064453e-05
2016-06,zero_anomaly,CFC-12,0.0,15.0,512.7486162307853,512.449,1.3611204182749783,0.18145855634564725,3.112159778944955e-05,2401562.825085645,2182521.9023020035,-542904610.1830444,1023224.682402744,0.0,-178727829.66989657,77695299818.42525,5.099177360534668e-05
2016-07,zero_anomaly,CFC-12,0.0,15.0,512.3910042389442,511.994,1.3620535624015904,0.1815932675481206,3.112159778944955e-05,2378991.3190322085,2183999.1030157753,-719371680.96698,1222428.7865125204,0.0,-232528036.3337745,77641499611.76137,4.953145980834961e-05
2016-08,zero_anomaly,CFC-12,0.0,15.0,511.9950156995241,511.602,1.3628773494803728,0.18172806364234723,3.112159778944955e-05,2356323.150099532,2185273.8224610765,-712144447.5377197,1419724.302600499,0.0,-292125010.27011645,77581902637.82501,3.5881996154785156e-05
2016-09,zero_anomaly,CFC-12,0.0,15.0,511.63834381120876,511.31,1.3635986022352804,0.18186293241559906,3.112159778944955e-05,2336135.902926975,2186358.7061251383,-594958985.9102783,1615220.965184482,0.0,-345786968.74315727,77528240679.35197,3.898143768310547e-05
2016-10,zero_anomaly,CFC-12,0.0,15.0,511.30232552485955,510.963,1.3642292661282258,0.1819978628748828,3.112159778944955e-05,2317659.606957081,2187275.8749440913,-614857851.0454102,1809124.9332009598,0.0,-396331826.0138373,77477695822.08127,1.2814998626708984e-05
2016-11,zero_anomaly,CFC-12,0.0,15.0,510.92295194431125,510.517,1.3647724875195997,0.18213284494692372,3.112159778944955e-05,2298673.349650882,2188031.168714772,-735584923.092041,2001480.813373348,0.0,-453424880.79647946,77420602767.29865,3.170967102050781e-05
2016-12,zero_anomaly,CFC-12,0.0,15.0,510.5901277036781,510.312,1.3652304651455531,0.18226786863332894,3.112159778944955e-05,2282223.081501068,2188628.673872179,-503967399.06481934,2192315.781327088,0.0,-503490506.1641161,77370537141.931,2.3066997528076172e-05
2017-01,zero_anomaly,CFC-12,0.0,15.0,510.31015009594853,510.031,1.3656194163471962,0.18240292513242898,3.112159778944955e-05,2268343.8384589916,2189098.4108087216,-505819973.8586426,2381917.990686615,0.0,-545577522.7219385,77328450125.37318,2.9921531677246094e-05
2017-02,zero_anomaly,CFC-12,0.0,15.0,510.0321058237533,509.757,1.365945669798561,0.18253800699703338,3.112159778944955e-05,2255226.6133467546,2189452.102140676,-498491752.6409912,2570394.47172217,0.0,-587373731.3423849,77286653916.75275,3.8743019104003906e-05
2017-03,zero_anomaly,CFC-12,0.0,15.0,509.74595413648,509.454,1.3662126274498698,0.1826731072787866,3.112159778944955e-05,2242490.7375044143,2189696.0547565254,-529020895.3016968,2757798.780376851,0.0,-630395231.8120114,77243632416.28313,4.5418739318847656e-05
2017-04,zero_anomaly,CFC-12,0.0,15.0,509.46460758199646,509.193,1.3664227011404608,0.18280821932570435,3.112159778944955e-05,2230550.4177126,2189834.743167526,-492152938.5776367,2944166.5545816477,0.0,-672692193.764845,77201335454.33032,7.450580596923828e-05
2017-05,zero_anomaly,CFC-12,0.0,15.0,509.0876026255618,508.637,1.3665751481172557,0.18294333675332028,3.112159778944955e-05,2215982.941028565,2189866.8049997007,-816491957.5178833,3129475.429671575,0.0,-729434633.3113945,77144593014.78377,6.937980651855469e-05
2017-06,zero_anomaly,CFC-12,0.0,15.0,508.7118670738778,508.392,1.3666600226283125,0.18307845225518038,3.112159778944955e-05,2202208.9211875396,2189773.852886591,-579599137.8665771,3313531.5287709706,0.0,-785986645.5165693,77088041002.57858,5.924701690673828e-05
2017-07,zero_anomaly,CFC-12,0.0,15.0,508.4353305369772,508.192,1.3666931844742412,0.1832135588981148,3.112159778944955e-05,2192396.723800874,2189585.242269031,-440914933.00268555,3496618.91413693,0.0,-827560575.2031981,77046467072.89197,7.30752944946289e-05
2017-08,zero_anomaly,CFC-12,0.0,15.0,508.22777826216804,508.048,1.3666896027057918,0.18334865168603134,3.112159778944955e-05,2185348.3087730478,2189328.6770054344,-325758211.0484619,3679007.7842416707,0.0,-858718579.8292886,77015309068.26588,8.022785186767578e-05
2017-09,zero_anomaly,CFC-12,0.0,15.0,508.04163917055035,507.853,1.366658805645885,0.18348372704649069,3.112159778944955e-05,2179333.291454351,2189021.7922937046,-341814177.0371704,3860869.6000639806,0.0,-886643720.8477479,76987383927.24742,7.641315460205078e-05
2017-10,zero_anomaly,CFC-12,0.0,15.0,507.86976628165297,507.712,1.3666036234621524,0.18361878204559404,3.112159778944955e-05,2174076.1763477046,2188669.82972581,-285872502.3552246,4042252.7607450453,0.0,-912415143.9105421,76961612504.18462,6.54458999633789e-05
2017-11,zero_anomaly,CFC-12,0.0,15.0,507.70747760251083,507.544,1.3665281500884003,0.1837538141468149,3.112159778944955e-05,2169371.621676153,2188280.3682839256,-296221415.7495117,4223229.583366883,0.0,-936739757.6384392,76937287890.45677,0.000118255615234375
2017-12,zero_anomaly,CFC-12,0.0,15.0,507.5287049741983,507.341,1.3664327796893105,0.183888821097111,3.112159778944955e-05,2164324.9909853125,2187854.141390393,-340121413.24731445,4403804.3175299615,0.0,-963553849.7795011,76910473798.31573,0.00014317035675048828
2018-01,zero_anomaly,CFC-12,0.0,15.0,507.36000293923917,507.207,1.366317231936742,0.18402380057106002,3.112159778944955e-05,2159846.2676798473,2187390.6347054327,-277241325.9014282,4583968.636117956,0.0,-988847692.7397332,76885179955.3555,0.00013971328735351562
2018-02,zero_anomaly,CFC-12,0.0,15.0,507.2713627918061,507.231,1.3661892021339803,0.18415875060921405,3.112159778944955e-05,2158240.3202354554,2186904.0891272584,-73137378.75274658,4763862.265447479,0.0,-1002052461.3727751,76871975186.72244,0.00012493133544921875
2018-03,zero_anomaly,CFC-12,0.0,15.0,507.194328517581,507.093,1.3660592743582822,0.18429367050656592,3.112159778944955e-05,2157051.7971113147,2186414.087826157,-183607273.85687256,4943680.072001718,0.0,-1013504818.974214,76860522829.121,0.0001233816146850586
2018-04,zero_anomaly,CFC-12,0.0,15.0,506.9886273038533,506.71,1.3659180072953288,0.1844285597095995,3.112159778944955e-05,2151595.0082172165,2185903.1642145477,-504872674.58221436,5123246.63208986,0.0,-1044386135.6870042,76829641512.4082,0.00011456012725830078
2018-05,zero_anomaly,CFC-12,0.0,15.0,506.6208233353259,506.191,1.3657425520444535,0.18456341565599402,3.112159778944955e-05,2140981.717678782,2185329.049710699,-778839883.6105957,5302135.7518405365,0.0,-1099745645.814887,76774282002.28032,0.00011348724365234375
